date,사드,홍상수 김민희,date,탄핵,김광석
2019.3.3,6,1,2019.3.3,3,1
2019.3.10,3,1,2019.3.10,2,2
2019.3.17,2,1,2019.3.17,1,2
2019.3.24,1,0,2019.3.24,1,1
2019.3.31,0,1,2019.3.31,1,1
2019.4.7,1,1,2019.4.7,0,1
2019.4.14,3,0,2019.4.14,1,2
2019.4.21,4,0,2019.4.21,2,1
2019.4.28,2,0,2019.4.28,2,1
2019.5.5,3,1,2019.5.5,2,2
2019.5.12,2,1,2019.5.12,1,2
2019.5.19,2,1,2019.5.19,3,1
2019.5.26,2,0,2019.5.26,3,1
2019.6.2,3,0,2019.6.2,3,1
2019.6.9,3,5,2019.6.9,1,2
2019.6.16,2,1,2019.6.16,1,2
2019.6.23,1,2,2019.6.23,1,2
2019.6.30,3,1,2019.6.30,1,1
2019.7.7,1,1,2019.7.7,1,2
2019.7.14,1,1,2019.7.14,1,1
2019.7.21,3,0,2019.7.21,1,1
2019.7.28,3,1,2019.7.28,1,2
2019.8.4,4,0,2019.8.4,1,1
2019.8.11,3,0,2019.8.11,3,3
2019.8.18,2,1,2019.8.18,2,1
2019.8.25,5,1,2019.8.25,1,1
2019.9.1,2,1,2019.9.1,0,2
2019.9.8,1,1,2019.9.8,5,3
2019.9.15,0,0,2019.9.15,2,2
2019.9.22,1,1,2019.9.22,4,2
2019.9.29,2,0,2019.9.29,5,1
2019.10.6,1,1,2019.10.6,2,1
2019.10.13,3,0,2019.10.13,2,1
2019.10.20,3,1,2019.10.20,1,2
2019.10.27,0,1,2019.10.27,2,1
2019.11.3,4,0,2019.11.3,2,1
2019.11.10,1,0,2019.11.10,1,1
2019.11.17,2,0,2019.11.17,1,1
2019.11.24,1,0,2019.11.24,1,1
2019.12.1,2,0,2019.12.1,2,1
2019.12.8,1,0,2019.12.8,2,1
2019.12.15,4,0,2019.12.15,5,1
2019.12.22,1,0,2019.12.22,1,1
2019.12.29,3,0,2019.12.29,1,2
2020.1.5,2,0,2020.1.5,2,2
2020.1.12,1,0,2020.1.12,2,1
2020.1.19,1,0,2020.1.19,1,1
2020.1.26,2,1,2020.1.26,1,0
2020.2.2,2,1,2020.2.2,2,1
2020.2.9,1,2,2020.2.9,1,1
2020.2.16,2,1,2020.2.16,1,2
2020.2.23,2,2,2020.2.23,35,2
2020.3.1,3,2,2020.3.1,12,1
2020.3.8,1,0,2020.3.8,2,2
2020.3.15,1,0,2020.3.15,1,2
2020.3.22,1,0,2020.3.22,2,2
2020.3.29,2,1,2020.3.29,1,1
2020.4.5,1,0,2020.4.5,1,1
2020.4.12,1,1,2020.4.12,3,1
2020.4.19,1,0,2020.4.19,1,1
2020.4.26,1,0,2020.4.26,1,1
2020.5.3,1,0,2020.5.3,0,1
2020.5.10,2,0,2020.5.10,0,1
2020.5.17,1,0,2020.5.17,0,2
2020.5.24,2,0,2020.5.24,1,2
2020.5.31,4,0,2020.5.31,1,1
2020.6.7,4,0,2020.6.7,1,1
2020.6.14,1,0,2020.6.14,0,1
2020.6.21,2,1,2020.6.21,1,1
2020.6.28,0,0,2020.6.28,1,1
2020.7.5,1,0,2020.7.5,1,0
2020.7.12,1,1,2020.7.12,1,2
2020.7.19,1,0,2020.7.19,2,1
2020.7.26,2,0,2020.7.26,1,1
2020.8.2,1,0,2020.8.2,1,1
2020.8.9,1,1,2020.8.9,2,1
2020.8.16,2,0,2020.8.16,1,1
2020.8.23,0,0,2020.8.23,0,0
2020.8.30,2,0,2020.8.30,1,1
2020.9.6,1,0,2020.9.6,1,2
2020.9.13,2,1,2020.9.13,1,1
2020.9.20,3,1,2020.9.20,0,2
2020.9.27,3,0,2020.9.27,0,2
2020.10.4,2,0,2020.10.4,1,1
2020.10.11,1,0,2020.10.11,0,1
2020.10.18,2,0,2020.10.18,1,1
2020.10.25,2,0,2020.10.25,1,2
2020.11.1,1,1,2020.11.1,1,1
2020.11.8,2,0,2020.11.8,1,2
2020.11.15,3,0,2020.11.15,1,1
2020.11.22,1,1,2020.11.22,1,1
2020.11.29,1,1,2020.11.29,2,2
2020.12.6,2,2,2020.12.6,1,1
2020.12.13,1,0,2020.12.13,1,1
2020.12.20,1,0,2020.12.20,3,1
2020.12.27,1,0,2020.12.27,1,1
2021.1.3,1,0,2021.1.3,1,1
2021.1.10,2,0,2021.1.10,2,2
2021.1.17,2,0,2021.1.17,1,1
2021.1.24,1,0,2021.1.24,1,2
2021.1.31,1,0,2021.1.31,4,2
2021.2.7,3,0,2021.2.7,2,2
